правило выхода,выборка,сделок,winrate,PnL,PF,капитал,просадка,минут,%стоп,%трейл
стоп 0.75 ATR,test,239,36.4,-2.22,0.951,0.9749,-7.53,205.4,43.5,27.6
стоп 0.75 ATR,sim,139,32.37,-8.94,0.649,0.9135,-10.46,181.0,50.4,23.0
стоп 1 ATR,test,220,40.0,0.29,1.007,0.9995,-7.15,233.1,35.0,31.8
стоп 1 ATR,sim,132,37.88,-9.68,0.624,0.9067,-11.75,209.5,40.2,26.5
стоп 1.5 ATR,test,204,44.12,2.26,1.053,1.019,-8.12,272.8,23.5,37.3
стоп 1.5 ATR,sim,115,41.74,-8.36,0.661,0.9186,-10.52,264.5,27.0,31.3
стоп 2 ATR,test,198,45.96,2.48,1.058,1.0209,-7.55,299.4,16.7,38.9
стоп 2 ATR,sim,109,44.04,-4.48,0.809,0.9546,-6.71,309.6,15.6,35.8
стоп 3 ATR,test,192,46.35,-1.7,0.963,0.9782,-8.23,325.9,9.9,40.1
стоп 3 ATR,sim,106,44.34,-7.53,0.712,0.9256,-9.36,341.8,8.5,35.8
стоп 4 ATR,test,191,46.6,-3.7,0.924,0.9578,-8.07,338.8,5.8,40.8
стоп 4 ATR,sim,103,45.63,-5.5,0.774,0.9447,-7.49,352.5,4.9,37.9
