вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.55 + EV + тренд,test,6,16.67,-3.31,0.124,-0.552,-0.402
meta 0.55 + EV + тренд,sim,4,75.0,1.89,3.563,0.472,0.622
"meta 0.55, без EV",test,28,28.57,-7.67,0.305,-0.274,-0.124
"meta 0.55, без EV",sim,11,36.36,-0.54,0.849,-0.049,0.101
meta 0.50 + EV + тренд,test,7,28.57,-2.07,0.551,-0.296,-0.146
meta 0.50 + EV + тренд,sim,5,60.0,1.22,1.867,0.244,0.394
"meta 0.50, без EV",test,106,31.13,-18.53,0.486,-0.175,-0.025
"meta 0.50, без EV",sim,45,31.11,-7.45,0.531,-0.166,-0.016
meta 0.45 + EV + тренд,test,9,33.33,-2.57,0.5,-0.286,-0.136
meta 0.45 + EV + тренд,sim,5,60.0,1.22,1.867,0.244,0.394
"meta 0.45, без EV",test,171,35.09,-23.18,0.536,-0.136,0.014
"meta 0.45, без EV",sim,82,32.93,-11.24,0.532,-0.137,0.013
meta 0.40 + EV + тренд,test,9,33.33,-2.57,0.5,-0.286,-0.136
meta 0.40 + EV + тренд,sim,5,60.0,1.22,1.867,0.244,0.394
"meta 0.40, без EV",test,203,36.95,-18.43,0.671,-0.091,0.059
"meta 0.40, без EV",sim,100,37.0,-10.29,0.584,-0.103,0.047
без меты: cb + EV + тренд,test,9,33.33,-2.57,0.5,-0.286,-0.136
без меты: cb + EV + тренд,sim,5,60.0,1.22,1.867,0.244,0.394
"без меты: cb + EV, без тренда",test,18,50.0,-3.07,0.619,-0.17,-0.02
"без меты: cb + EV, без тренда",sim,7,42.86,-2.38,0.524,-0.341,-0.191
"без меты: cb, без EV и тренда",test,914,28.23,-149.81,0.445,-0.164,-0.014
"без меты: cb, без EV и тренда",sim,421,28.03,-51.64,0.507,-0.123,0.027
