signal_dt,open_dt,close_dt,side,predicted_class,open_price,exit_price,gross_pct,commission_pct,profit_pct,profit_points,exit_reason,atr_at_entry,minutes_in_trade,roll_low,roll_high,atr_prev,extension_atr,ext_bin
2026-02-13 16:00:00,2026-02-13 17:01:00,2026-02-13 23:49:00,buy,2,5254.0,5260.5,0.12371526456033499,0.04,0.08371526456033498,6.5,timeout,24.25,408,5165.5,5269.0,23.714285714285715,3.7319277108433733,"(3.0, 99.0]"
2026-02-18 16:00:00,2026-02-18 17:01:00,2026-02-18 18:13:00,sell,0,5169.5,5188.071428571428,-0.3592499965456706,0.04,-0.39924999654567056,-18.57142857142844,stop_loss,18.571428571428573,72,5152.0,5265.0,18.071428571428573,5.284584980237153,"(3.0, 99.0]"
2026-02-27 20:00:00,2026-02-27 21:01:00,2026-02-27 23:49:00,buy,2,5224.0,5220.5,-0.06699846860643185,0.04,-0.10699846860643186,-3.5,timeout,15.607142857142858,168,5132.5,5239.5,15.214285714285714,6.014084507042254,"(3.0, 99.0]"
2026-02-28 10:00:00,2026-02-28 11:01:00,2026-02-28 15:13:00,buy,2,5303.5,5345.196428571428,0.7862058748265945,0.04,0.7462058748265945,41.69642857142844,trailing_stop,20.535714285714285,252,5136.5,5240.5,14.607142857142858,11.432762836185818,"(3.0, 99.0]"
2026-02-28 16:00:00,2026-02-28 17:01:00,2026-02-28 18:59:00,buy,2,5362.5,5376.5,0.26107226107226106,0.04,0.22107226107226105,14.0,timeout,27.357142857142858,118,5136.5,5376.0,26.964285714285715,8.381456953642385,"(3.0, 99.0]"
2026-03-06 19:00:00,2026-03-06 20:01:00,2026-03-06 23:49:00,buy,2,5623.5,5636.0,0.2222814972881657,0.04,0.1822814972881657,12.5,timeout,47.714285714285715,228,5393.5,5683.5,47.67857142857143,4.823970037453184,"(3.0, 99.0]"
2026-03-09 06:00:00,2026-03-09 07:01:00,2026-03-09 07:08:00,buy,2,5923.0,6076.339285714285,2.5888787052893014,0.04,2.5488787052893014,153.33928571428532,trailing_stop,63.107142857142854,7,5393.5,5683.5,48.32142857142857,10.957871396895788,"(3.0, 99.0]"
2026-03-16 20:00:00,2026-03-16 21:01:00,2026-03-17 07:01:00,sell,0,5711.0,5715.5,-0.07879530730169848,0.04,-0.11879530730169849,-4.5,timeout,24.285714285714285,600,5689.5,5840.0,24.071428571428573,5.359050445103858,"(3.0, 99.0]"
2026-03-31 20:00:00,2026-03-31 21:01:00,2026-04-01 07:01:00,sell,0,5582.0,5586.0,-0.07165890361877462,0.04,-0.11165890361877462,-4.0,timeout,25.535714285714285,600,5565.5,5708.5,24.821428571428573,5.096402877697842,"(3.0, 99.0]"
2026-04-15 20:00:00,2026-04-15 21:01:00,2026-04-16 07:01:00,sell,0,5423.0,5415.5,0.13829983404019916,0.04,0.09829983404019915,7.5,timeout,22.642857142857142,600,5362.5,5459.5,22.25,1.6404494382022472,"(1.5, 2.0]"
2026-04-21 20:00:00,2026-04-21 21:01:00,2026-04-22 07:01:00,buy,2,5475.0,5467.0,-0.1461187214611872,0.04,-0.18611872146118721,-8.0,timeout,23.214285714285715,600,5353.5,5489.0,21.178571428571427,5.736930860033727,"(3.0, 99.0]"
2026-04-27 17:00:00,2026-04-27 18:01:00,2026-04-27 18:27:00,buy,2,5564.0,5539.142857142857,-0.4467495121700775,0.04,-0.4867495121700775,-24.857142857143117,stop_loss,24.857142857142858,26,5441.5,5569.0,24.5,5.0,"(3.0, 99.0]"
2026-04-27 19:00:00,2026-04-27 20:01:00,2026-04-27 23:49:00,buy,2,5546.0,5553.0,0.12621709340064913,0.04,0.08621709340064912,7.0,timeout,27.428571428571427,228,5441.5,5570.0,27.142857142857142,3.85,"(3.0, 99.0]"
2026-05-20 15:00:00,2026-05-20 16:01:00,2026-05-20 17:31:00,sell,0,5143.0,5147.375,-0.08506708146995916,0.04,-0.12506708146995915,-4.375,trailing_stop,18.25,90,5115.0,5233.5,17.25,5.246376811594203,"(3.0, 99.0]"
2026-06-02 20:00:00,2026-06-02 21:01:00,2026-06-03 07:01:00,buy,2,4988.5,5016.0,0.5512679162072767,0.04,0.5112679162072766,27.5,timeout,27.892857142857142,600,4869.5,5019.0,27.357142857142858,4.349869451697128,"(3.0, 99.0]"
