вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.50 + EV + тренд,test,60,48.33,6.96,1.666,0.116,0.156
meta 0.50 + EV + тренд,sim,38,55.26,2.54,1.479,0.067,0.107
"meta 0.50, без EV",test,63,47.62,6.59,1.586,0.105,0.145
"meta 0.50, без EV",sim,42,50.0,1.6,1.248,0.038,0.078
без меты: cb + EV + тренд,test,94,40.43,2.45,1.136,0.026,0.066
без меты: cb + EV + тренд,sim,65,43.08,-2.15,0.799,-0.033,0.007
"без меты: cb + EV, без тренда",test,398,40.45,5.67,1.073,0.014,0.054
"без меты: cb + EV, без тренда",sim,188,44.15,3.58,1.123,0.019,0.059
"без меты: cb, без EV и тренда",test,451,40.13,8.5,1.101,0.019,0.059
"без меты: cb, без EV и тренда",sim,221,42.99,5.15,1.155,0.023,0.063
