признак,IC,IC_разреж,n,Q5−Q1 (ATR),группа,IC_метка
of_large_delta_z_6,0.0791,0.1066,6118,0.369,orderflow,0.0379
of_large_delta_ratio_6,0.0719,0.102,6187,0.465,orderflow,0.0653
trend_4h,0.0687,0.0773,6235,0.35,база,0.0603
of_va_pos,0.0648,0.0771,6204,0.746,orderflow,0.0492
of_avg_sz_rel_24,0.0577,0.0569,6133,0.358,orderflow,0.0466
macd_atr,0.0574,0.0639,6235,0.389,база,0.0484
adx_4,-0.055,-0.0814,6235,-0.456,база,-0.0138
of_big_share,0.0539,0.0547,6205,0.355,orderflow,0.0513
of_delta_ratio_6,0.0537,0.0725,6187,0.469,orderflow,0.0419
of_ld_price_div_6,-0.0507,-0.0618,6187,-0.363,orderflow,-0.0205
of_big_delta_ratio_6,0.0451,0.0534,6187,0.342,orderflow,0.0262
of_large_delta_ratio_24,0.0444,0.0498,6133,0.552,orderflow,0.0477
of_large_delta_z_24,0.0429,0.0566,5848,0.34,orderflow,0.0478
of_big_delta_ratio_24,0.036,0.0408,6133,0.3,orderflow,0.0239
of_poc_dist_atr,0.0358,0.0568,6205,0.588,orderflow,0.0265
of_ld_price_div_24,-0.0324,-0.035,6133,-0.421,orderflow,-0.0288
rsi_4,0.0321,0.047,5835,0.147,база,0.0045
of_delta_ratio,0.0319,0.0225,6205,0.312,orderflow,0.026
of_va_width_atr,0.0294,0.0284,6205,0.162,orderflow,0.0352
ext_from_high_24,-0.0276,-0.0227,6235,-0.428,база,-0.0377
ext_from_low_24,0.0272,0.0177,6235,0.101,база,0.045
of_large_delta_ratio,0.027,0.0406,6205,0.176,orderflow,0.02
rel_vol_20,0.0206,0.0149,6235,0.029,база,0.0273
of_large_share,0.0205,0.0502,6205,0.148,orderflow,0.0236
of_delta_ratio_24,0.0179,0.0219,6133,0.166,orderflow,0.0269
of_big_delta_ratio,0.0176,-0.0065,6205,0.216,orderflow,0.0073
of_vwap_dev_atr,-0.0168,-0.0323,6205,-0.269,orderflow,-0.026
er_24,0.007,0.0281,6235,0.048,база,0.0161
of_trades_rel_24,-0.0002,0.0011,6133,-0.087,orderflow,0.0085
