вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.50 + EV + тренд,test,0,0.0,0.0,0.0,0.0,
meta 0.50 + EV + тренд,sim,0,0.0,0.0,0.0,0.0,
"meta 0.50, без EV",test,75,34.67,-3.6,0.806,-0.048,0.102
"meta 0.50, без EV",sim,40,22.5,-9.95,0.248,-0.249,-0.099
без меты: cb + EV + тренд,test,0,0.0,0.0,0.0,0.0,
без меты: cb + EV + тренд,sim,0,0.0,0.0,0.0,0.0,
"без меты: cb + EV, без тренда",test,0,0.0,0.0,0.0,0.0,
"без меты: cb + EV, без тренда",sim,0,0.0,0.0,0.0,0.0,
"без меты: cb, без EV и тренда",test,416,30.77,-49.38,0.538,-0.119,0.031
"без меты: cb, без EV и тренда",sim,213,26.76,-26.98,0.461,-0.127,0.023
