признак,IC,IC_разреж,n,Q5−Q1 (ATR),группа,IC_метка
of_large_delta_z_6,0.0843,0.1137,6177,0.428,orderflow,0.0382
of_large_delta_ratio_6,0.0705,0.1022,6200,0.457,orderflow,0.0622
trend_4h,0.0687,0.0773,6235,0.35,база,0.0603
of_va_pos,0.0648,0.0771,6204,0.746,orderflow,0.0492
macd_atr,0.0574,0.0639,6235,0.389,база,0.0484
of_avg_sz_rel_24,0.0571,0.0583,6182,0.343,orderflow,0.0503
adx_4,-0.055,-0.0814,6235,-0.456,база,-0.0138
of_big_share,0.0539,0.0547,6205,0.355,orderflow,0.0513
of_delta_ratio_6,0.0525,0.073,6200,0.459,orderflow,0.0395
of_ld_price_div_6,-0.0512,-0.0596,6141,-0.358,orderflow,-0.0198
of_large_delta_ratio_24,0.0498,0.0515,6182,0.593,orderflow,0.0522
of_big_delta_ratio_6,0.0442,0.053,6200,0.34,orderflow,0.025
of_large_delta_z_24,0.0423,0.0473,6087,0.394,orderflow,0.0559
of_big_delta_ratio_24,0.0371,0.0384,6182,0.289,orderflow,0.0253
of_poc_dist_atr,0.0358,0.0568,6205,0.588,orderflow,0.0265
of_ld_price_div_24,-0.0352,-0.0376,6107,-0.417,orderflow,-0.0288
rsi_4,0.0321,0.047,5835,0.147,база,0.0045
of_delta_ratio,0.0319,0.0225,6205,0.312,orderflow,0.026
of_va_width_atr,0.0294,0.0284,6205,0.162,orderflow,0.0352
ext_from_high_24,-0.0276,-0.0227,6235,-0.428,база,-0.0377
ext_from_low_24,0.0272,0.0177,6235,0.101,база,0.045
of_large_delta_ratio,0.027,0.0406,6205,0.176,orderflow,0.02
of_delta_ratio_24,0.0233,0.0256,6182,0.212,orderflow,0.0294
rel_vol_20,0.0206,0.0149,6235,0.029,база,0.0273
of_large_share,0.0205,0.0502,6205,0.148,orderflow,0.0236
of_big_delta_ratio,0.0176,-0.0065,6205,0.216,orderflow,0.0073
of_vwap_dev_atr,-0.0168,-0.0323,6205,-0.269,orderflow,-0.026
er_24,0.007,0.0281,6235,0.048,база,0.0161
of_trades_rel_24,-0.0062,-0.0076,6182,-0.109,orderflow,0.0038
