вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.50 + EV + тренд,test,40,37.5,-0.47,0.946,-0.012,0.028
meta 0.50 + EV + тренд,sim,30,43.33,-0.37,0.936,-0.012,0.028
"meta 0.50, без EV",test,44,40.91,0.54,1.059,0.012,0.052
"meta 0.50, без EV",sim,33,45.45,-0.44,0.924,-0.013,0.027
без меты: cb + EV + тренд,test,94,37.23,1.39,1.075,0.015,0.055
без меты: cb + EV + тренд,sim,75,44.0,-0.2,0.982,-0.003,0.037
"без меты: cb + EV, без тренда",test,385,40.0,4.51,1.062,0.012,0.052
"без меты: cb + EV, без тренда",sim,189,39.15,-5.82,0.822,-0.031,0.009
"без меты: cb, без EV и тренда",test,450,38.67,-1.64,0.981,-0.004,0.036
"без меты: cb, без EV и тренда",sim,224,37.5,-10.1,0.744,-0.045,-0.005
