правило выхода,выборка,сделок,winrate,PnL,PF,капитал,просадка,минут,%стоп,%трейл
стоп 0.75 ATR,test,237,29.96,-12.18,0.805,0.8811,-13.31,202.3,53.6,36.3
стоп 0.75 ATR,sim,92,46.74,62.97,2.542,1.8057,-4.32,247.1,40.2,41.3
стоп 1 ATR,test,217,34.56,-12.59,0.801,0.8771,-15.38,239.0,44.7,41.9
стоп 1 ATR,sim,90,48.89,57.55,2.241,1.709,-5.82,269.3,35.6,43.3
стоп 1.25 ATR,test,205,37.56,-14.41,0.78,0.8609,-15.91,267.4,40.0,44.4
стоп 1.25 ATR,sim,85,52.94,63.52,2.553,1.8146,-5.44,303.5,27.1,45.9
стоп 1.5 ATR,test,202,40.1,-16.47,0.76,0.8429,-16.99,292.9,35.1,45.5
стоп 1.5 ATR,sim,81,56.79,65.26,2.671,1.846,-6.29,328.4,22.2,48.1
стоп 2 ATR,test,189,41.8,-9.81,0.846,0.9004,-14.94,341.8,23.3,49.7
стоп 2 ATR,sim,75,64.0,72.02,3.074,1.9745,-8.27,368.0,13.3,48.0
стоп 2.5 ATR,test,186,41.94,-14.24,0.788,0.861,-18.09,366.5,17.7,51.1
стоп 2.5 ATR,sim,74,63.51,67.96,2.786,1.894,-8.69,381.4,12.2,48.6
стоп 3 ATR,test,181,43.09,-7.45,0.875,0.9222,-12.75,394.3,10.5,51.9
стоп 3 ATR,sim,73,63.01,65.33,2.586,1.8428,-10.7,390.0,9.6,47.9
стоп 4 ATR,test,179,43.58,-6.23,0.894,0.9333,-11.64,411.3,5.0,52.0
стоп 4 ATR,sim,71,63.38,69.47,2.933,1.9223,-6.07,407.5,2.8,47.9
