правило выхода,выборка,сделок,winrate,PnL,PF,капитал,просадка,минут,%стоп,%трейл
как в конфиге,test,217,34.56,-12.59,0.801,0.8771,-15.38,239.0,44.7,41.9
как в конфиге,sim,90,48.89,57.55,2.241,1.709,-5.82,269.3,35.6,43.3
стоп 1.5 ATR,test,202,40.1,-16.47,0.76,0.8429,-16.99,292.9,35.1,45.5
стоп 1.5 ATR,sim,81,56.79,65.26,2.671,1.846,-6.29,328.4,22.2,48.1
стоп 2.0 ATR,test,189,41.8,-9.81,0.846,0.9004,-14.94,341.8,23.3,49.7
стоп 2.0 ATR,sim,75,64.0,72.02,3.074,1.9745,-8.27,368.0,13.3,48.0
трейл включается после 1.5 ATR,test,208,39.9,-15.11,0.777,0.855,-17.86,267.7,54.8,27.9
трейл включается после 1.5 ATR,sim,89,49.44,49.87,1.977,1.5826,-5.44,276.9,44.9,31.5
трейл включается после 2.0 ATR,test,205,36.1,-17.67,0.754,0.8332,-19.54,280.3,59.0,20.5
трейл включается после 2.0 ATR,sim,88,47.73,46.52,1.855,1.5301,-5.44,293.4,47.7,22.7
трейл 2.5 ATR,test,198,30.3,-19.29,0.727,0.8196,-20.54,306.9,47.0,21.7
трейл 2.5 ATR,sim,85,43.53,37.8,1.728,1.4192,-6.0,319.3,35.3,29.4
стоп 1.5 + трейл после 2.0,test,189,44.44,-18.11,0.757,0.8287,-18.71,352.1,42.9,23.3
стоп 1.5 + трейл после 2.0,sim,77,59.74,58.23,2.228,1.7189,-6.69,374.8,31.2,27.3
стоп 2.0 + трейл 2.5 после 2.0,test,168,44.64,-14.24,0.781,0.8612,-19.09,452.4,26.8,13.1
стоп 2.0 + трейл 2.5 после 2.0,sim,69,57.97,44.27,1.928,1.5125,-7.99,450.8,20.3,18.8
фикс. барьеры 1.5/0.75 ATR (как разметка),test,255,33.73,-12.46,0.83,0.879,-13.41,165.7,64.3,0.0
фикс. барьеры 1.5/0.75 ATR (как разметка),sim,113,45.13,16.43,1.267,1.1639,-9.34,161.0,52.2,0.0
фикс. барьеры 3.0/1.5 ATR,test,186,39.78,-16.44,0.785,0.8419,-19.06,365.8,45.2,0.0
фикс. барьеры 3.0/1.5 ATR,sim,82,58.54,58.47,2.168,1.746,-6.69,361.0,30.5,0.0
горизонт 20 баров,test,210,31.43,-14.21,0.77,0.863,-16.65,268.6,44.3,51.0
горизонт 20 баров,sim,83,45.78,56.28,2.267,1.688,-6.42,333.3,33.7,57.8
горизонт 40 баров + стоп 1.5,test,192,38.54,-15.84,0.759,0.8482,-16.12,355.7,34.9,61.5
горизонт 40 баров + стоп 1.5,sim,75,53.33,60.68,2.557,1.7636,-7.35,409.9,24.0,68.0
