вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.51 + EV + тренд,test,15,20.0,-2.43,0.573,-0.162,-0.122
meta 0.51 + EV + тренд,sim,14,42.86,7.57,2.121,0.541,0.581
"meta 0.51, без EV",test,19,21.05,-3.59,0.509,-0.189,-0.149
"meta 0.51, без EV",sim,16,37.5,5.51,1.626,0.344,0.384
meta 0.50 + EV + тренд,test,132,34.09,-11.24,0.722,-0.085,-0.045
meta 0.50 + EV + тренд,sim,69,56.52,67.72,3.299,0.981,1.021
"meta 0.50, без EV",test,167,36.53,-9.98,0.798,-0.06,-0.02
"meta 0.50, без EV",sim,73,53.42,63.61,2.906,0.871,0.911
meta 0.49 + EV + тренд,test,179,33.52,-14.46,0.729,-0.081,-0.041
meta 0.49 + EV + тренд,sim,81,54.32,63.94,2.615,0.789,0.829
"meta 0.49, без EV",test,215,34.88,-12.56,0.801,-0.058,-0.018
"meta 0.49, без EV",sim,87,50.57,59.13,2.303,0.68,0.72
без меты: cb + EV + тренд,test,179,33.52,-14.46,0.729,-0.081,-0.041
без меты: cb + EV + тренд,sim,81,54.32,63.94,2.615,0.789,0.829
"без меты: cb + EV, без тренда",test,622,37.46,-35.04,0.819,-0.056,-0.016
"без меты: cb + EV, без тренда",sim,281,44.48,82.19,1.469,0.293,0.333
"без меты: cb, без EV и тренда",test,731,37.35,-39.73,0.824,-0.054,-0.014
"без меты: cb, без EV и тренда",sim,294,41.84,69.08,1.372,0.235,0.275
