вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.50 + EV + тренд,test,15,60.0,1.42,1.512,0.094,0.134
meta 0.50 + EV + тренд,sim,5,40.0,-0.32,0.91,-0.064,-0.024
"meta 0.50, без EV",test,23,43.48,0.25,1.062,0.011,0.051
"meta 0.50, без EV",sim,6,50.0,0.21,1.064,0.035,0.075
без меты: cb + EV + тренд,test,42,38.1,-1.92,0.829,-0.046,-0.006
без меты: cb + EV + тренд,sim,19,42.11,-1.23,0.917,-0.065,-0.025
"без меты: cb + EV, без тренда",test,331,37.76,-10.93,0.892,-0.033,0.007
"без меты: cb + EV, без тренда",sim,144,29.86,-37.3,0.659,-0.259,-0.219
"без меты: cb, без EV и тренда",test,351,37.32,-21.01,0.813,-0.06,-0.02
"без меты: cb, без EV и тренда",sim,149,29.53,-43.24,0.641,-0.29,-0.25
