признак,IC,IC_разреж,n,Q5−Q1 (ATR),группа,IC_метка
of_ld_price_div_24,0.0368,0.0426,5685,0.242,orderflow,0.0211
of_poc_dist_atr,-0.0367,-0.0004,5696,-0.11,orderflow,-0.0169
ext_from_high_24,0.0344,0.0356,8787,-0.041,база,0.0378
of_large_delta_z_24,0.033,-0.0037,5591,0.382,orderflow,0.0331
ext_from_low_24,-0.0321,-0.0381,8787,0.005,база,-0.022
of_big_delta_ratio_24,0.0311,0.006,5686,0.115,orderflow,0.0312
of_va_width_atr,-0.0305,-0.0138,5696,-0.297,orderflow,0.0224
of_delta_ratio_6,-0.0235,-0.0567,5704,0.06,orderflow,0.011
of_large_delta_ratio_6,-0.0229,-0.0579,5704,0.022,orderflow,0.002
er_24,-0.0209,-0.0151,8787,-0.029,база,-0.0184
of_va_pos,-0.0199,0.0052,5707,0.087,orderflow,-0.0192
of_big_share,-0.0141,0.0449,5709,-0.085,orderflow,-0.0053
of_big_delta_ratio_6,-0.0122,-0.0557,5704,-0.122,orderflow,0.004
of_avg_sz_rel_24,-0.0118,0.0129,5686,-0.307,orderflow,-0.0002
of_vwap_dev_atr,-0.0117,0.0052,5696,0.081,orderflow,-0.012
adx_4,0.0116,-0.005,8787,0.108,база,0.0226
of_ld_price_div_6,0.0114,0.0089,5696,-0.154,orderflow,-0.0035
macd_atr,-0.0101,-0.0273,8787,0.105,база,-0.0119
of_large_delta_z_6,-0.0076,-0.0276,5681,0.162,orderflow,0.0297
of_large_share,-0.0057,0.0086,5709,-0.154,orderflow,0.0022
of_large_delta_ratio,-0.0057,-0.0129,5709,-0.038,orderflow,-0.0193
of_trades_rel_24,0.0054,0.0257,5686,0.008,orderflow,0.0142
rsi_4,-0.0052,-0.0423,8188,0.097,база,-0.011
of_delta_ratio,-0.004,-0.0043,5709,0.033,orderflow,-0.0175
of_big_delta_ratio,0.0039,0.0328,5709,-0.138,orderflow,-0.0064
trend_4h,0.0022,0.0024,8787,0.326,база,-0.0238
of_delta_ratio_24,0.0015,-0.0211,5686,0.094,orderflow,0.0094
of_large_delta_ratio_24,-0.0011,-0.0172,5686,0.048,orderflow,0.0068
