вариант,выборка,сделок,winrate,PnL,PF,на_сделку,до_комиссии
meta 0.50 + EV + тренд,test,13,30.77,-2.97,0.477,-0.229,-0.189
meta 0.50 + EV + тренд,sim,5,100.0,31.79,inf,6.357,6.397
"meta 0.50, без EV",test,16,31.25,-3.21,0.491,-0.201,-0.161
"meta 0.50, без EV",sim,5,100.0,33.07,inf,6.614,6.654
без меты: cb + EV + тренд,test,48,37.5,-3.19,0.769,-0.066,-0.026
без меты: cb + EV + тренд,sim,17,47.06,-2.39,0.807,-0.141,-0.101
"без меты: cb + EV, без тренда",test,348,43.39,7.94,1.074,0.023,0.063
"без меты: cb + EV, без тренда",sim,163,32.52,-29.41,0.768,-0.18,-0.14
"без меты: cb, без EV и тренда",test,378,38.62,-9.75,0.918,-0.026,0.014
"без меты: cb, без EV и тренда",sim,165,32.12,-26.77,0.797,-0.162,-0.122
